ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
BC,,,,,6.95,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU VLAHUŢĂ"" PODU TURCULUI</b><br/>Umanist/Liceal/Zi",<b>(175) Filologie</b><br/>Limba română
BC,,,,,5.72,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU VLAHUŢĂ"" PODU TURCULUI</b><br/>Servicii/Liceal/Zi",<b>(176) Economic</b><br/>Limba română
BC,,,,,3.28,,,,,,,<b>LICEUL TEHNOLOGIC RĂCHITOASA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(204) Agricultură</b><br/>Limba română
BC,,,,,5.25,,,,,,,"<b>LICEUL TEHNOLOGIC ""JACQUES M. ELIAS"" SASCUT</b><br/>Servicii/Liceal/Zi",<b>(190) Economic</b><br/>Limba română
BC,,,,,3.80,,,,,,,"<b>LICEUL TEHNOLOGIC ""JACQUES M. ELIAS"" SASCUT</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(191) Agricultură</b><br/>Limba română
BH,,,,,7.19,,,,,,,"<b>LICEUL TEORETIC ""ADY ENDRE"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(207) Filologie</b><br/>Limba maghiară
BH,,,,,7.15,,,,,,,"<b>LICEUL TEORETIC ""ADY ENDRE"" ORADEA</b><br/>Real/Liceal/Zi",<b>(208) Matematică-Informatică</b><br/>Limba maghiară
BH,,,,,7.33,,,,,,,"<b>LICEUL TEORETIC ""ADY ENDRE"" ORADEA</b><br/>Real/Liceal/Zi",<b>(209) Ştiinţe ale Naturii</b><br/>Limba maghiară
BH,,,,,6.90,,,,,,,"<b>COLEGIUL ECONOMIC ""PARTENIE COSMA"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(101) Comerţ</b><br/>Limba română
BH,,,,,6.96,,,,,,,"<b>COLEGIUL ECONOMIC ""PARTENIE COSMA"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română
BH,,,,,7.43,,,,,,,"<b>COLEGIUL ECONOMIC ""PARTENIE COSMA"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(103) Turism şi alimentaţie</b><br/>Limba română
BH,,,,,8.85,,,,,,,"<b>LICEUL TEOLOGIC PENTICOSTAL ""BETEL"" ORADEA</b><br/>Real/Liceal/Zi",<b>(200) Matematică-Informatică</b><br/>Limba română
BH,,,,,5.41,,,,,,,"<b>LICEUL TEOLOGIC ROMANO-CATOLIC ""SZENT LASZLO"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(202) Comerţ</b><br/>Limba maghiară
BH,,,,,6.51,,,,,,,"<b>LICEUL TEOLOGIC ROMANO-CATOLIC ""SZENT LASZLO"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(203) Economic</b><br/>Limba maghiară
BH,,,,,5.33,,,,,,,"<b>LICEUL TEOLOGIC ROMANO-CATOLIC ""SZENT LASZLO"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(205) Turism şi alimentaţie</b><br/>Limba maghiară
BH,,,,,9.55,,,,,,,"<b>COLEGIUL NAȚIONAL ""EMANUIL GOJDU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(107) Matematică-Informatică</b><br/>Limba română
BH,,,,,9.37,,,,,,,"<b>COLEGIUL NAȚIONAL ""EMANUIL GOJDU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(109) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,9.08,,,,,,,"<b>COLEGIUL NAȚIONAL ""EMANUIL GOJDU"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(144) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,9.46,,,,,,,"<b>COLEGIUL NAȚIONAL ""EMANUIL GOJDU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(108) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.50,,,,,,,"<b>LICEUL TEORETIC GERMAN ""FRIEDRICH SCHILLER"" ORADEA</b><br/>Real/Liceal/Zi",<b>(227) Matematică-Informatică</b><br/>Limba germană
BH,,,,,7.86,,,,,,,"<b>LICEUL ORTODOX ""EPISCOP ROMAN CIOROGARIU"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(168) Filologie</b><br/>Limba română
BH,,,,,6.94,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(116) Filologie</b><br/>Limba maghiară
BH,,,,,8.44,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(117) Filologie</b><br/>Limba română
BH,,,,,7.04,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(119) Matematică-Informatică</b><br/>Limba maghiară
BH,,,,,9.08,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(120) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.90,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(121) Ştiinţe ale Naturii</b><br/>Limba maghiară
BH,,,,,9.21,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(122) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,8.70,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(123) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,8.99,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(118) Filologie</b><br/>Limba română
BH,,,,,6.13,,,,,,,"<b>LICEUL TEHNOLOGIC ""FELIX"" SÂNMARTIN</b><br/>Servicii/Liceal/Zi",<b>(175) Turism şi alimentaţie</b><br/>Limba română
BH,,,,,6.67,,,,,,,"<b>LICEUL TEORETIC ""CONSTANTIN ȘERBAN"" ALEȘD</b><br/>Umanist/Liceal/Zi",<b>(215) Filologie</b><br/>Limba română
BH,,,,,6.88,,,,,,,"<b>LICEUL TEORETIC ""CONSTANTIN ȘERBAN"" ALEȘD</b><br/>Real/Liceal/Zi",<b>(216) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,6.92,,,,,,,"<b>COLEGIUL TEHNIC ""ALEXANDRU ROMAN"" ALEȘD</b><br/>Servicii/Liceal/Zi",<b>(137) Economic</b><br/>Limba română
BH,,,,,4.60,,,,,,,"<b>COLEGIUL TEHNIC ""ALEXANDRU ROMAN"" ALEȘD</b><br/>Tehnic/Liceal/Zi",<b>(138) Electric</b><br/>Limba română
BH,,,,,6.23,,,,,,,"<b>COLEGIUL TEHNIC ""ALEXANDRU ROMAN"" ALEȘD</b><br/>Umanist/Liceal/Zi",<b>(139) Filologie</b><br/>Limba română
BH,,,,,5.80,,,,,,,"<b>COLEGIUL TEHNIC ""ALEXANDRU ROMAN"" ALEȘD</b><br/>Real/Liceal/Zi",<b>(140) Matematică-Informatică</b><br/>Limba română
BH,,,,,7.53,,,,,,,"<b>LICEUL VOCAȚIONAL PEDAGOGIC ""NICOLAE BOLCAȘ"" BEIUȘ</b><br/>Real/Liceal/Zi",<b>(158) Matematică-Informatică</b><br/>Limba română
BH,,,,,7.19,,,,,,,"<b>LICEUL VOCAȚIONAL PEDAGOGIC ""NICOLAE BOLCAȘ"" BEIUȘ</b><br/>Umanist/Liceal/Zi",<b>(230) Filologie</b><br/>Limba română
BH,,,,,6.52,,,,,,,"<b>COLEGIUL TEHNIC ""IOAN CIORDAȘ"" BEIUȘ</b><br/>Servicii/Liceal/Zi",<b>(141) Economic</b><br/>Limba română
BH,,,,,5.92,,,,,,,"<b>COLEGIUL TEHNIC ""IOAN CIORDAȘ"" BEIUȘ</b><br/>Tehnic/Liceal/Zi",<b>(142) Mecanică</b><br/>Limba română
BH,,,,,6.00,,,,,,,"<b>COLEGIUL TEHNIC ""IOAN CIORDAȘ"" BEIUȘ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(143) Silvicultură</b><br/>Limba română
BH,,,,,6.92,,,,,,,"<b>COLEGIUL NAȚIONAL ""SAMUIL VULCAN"" BEIUȘ</b><br/>Umanist/Liceal/Zi",<b>(130) Filologie</b><br/>Limba română
BH,,,,,8.28,,,,,,,"<b>COLEGIUL NAȚIONAL ""SAMUIL VULCAN"" BEIUȘ</b><br/>Real/Liceal/Zi",<b>(131) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.98,,,,,,,"<b>COLEGIUL NAȚIONAL ""SAMUIL VULCAN"" BEIUȘ</b><br/>Real/Liceal/Zi",<b>(132) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,6.61,,,,,,,"<b>COLEGIUL NAȚIONAL ""SAMUIL VULCAN"" BEIUȘ</b><br/>Umanist/Liceal/Zi",<b>(133) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,5.69,,,,,,,"<b>LICEUL TEHNOLOGIC ""UNIREA"" ȘTEI</b><br/>Servicii/Liceal/Zi",<b>(181) Economic</b><br/>Limba română
BH,,,,,4.68,,,,,,,"<b>LICEUL TEHNOLOGIC ""UNIREA"" ȘTEI</b><br/>Tehnic/Liceal/Zi",<b>(182) Mecanică</b><br/>Limba română
BH,,,,,6.37,,,,,,,"<b>COLEGIUL NAȚIONAL ""AVRAM IANCU"" ȘTEI</b><br/>Umanist/Liceal/Zi",<b>(104) Filologie</b><br/>Limba română
BH,,,,,7.85,,,,,,,"<b>COLEGIUL NAȚIONAL ""AVRAM IANCU"" ȘTEI</b><br/>Real/Liceal/Zi",<b>(105) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.90,,,,,,,"<b>COLEGIUL NAȚIONAL ""AVRAM IANCU"" ȘTEI</b><br/>Real/Liceal/Zi",<b>(106) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,4.97,,,,,,,"<b>LICEUL TEHNOLOGIC ""HOREA"" MARGHITA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(176) Agricultură</b><br/>Limba română
BH,,,,,4.53,,,,,,,"<b>LICEUL TEHNOLOGIC ""HOREA"" MARGHITA</b><br/>Servicii/Liceal/Zi",<b>(177) Comerţ</b><br/>Limba română
BH,,,,,5.14,,,,,,,"<b>LICEUL TEHNOLOGIC ""HOREA"" MARGHITA</b><br/>Servicii/Liceal/Zi",<b>(178) Economic</b><br/>Limba română
BH,,,,,5.16,,,,,,,"<b>LICEUL TEHNOLOGIC ""HOREA"" MARGHITA</b><br/>Servicii/Liceal/Zi",<b>(179) Turism şi alimentaţie</b><br/>Limba română
BH,,,,,4.33,,,,,,,"<b>LICEUL TEORETIC ""HORVATH JANOS"" MARGHITA</b><br/>Umanist/Liceal/Zi",<b>(218) Filologie</b><br/>Limba maghiară
BH,,,,,5.75,,,,,,,"<b>LICEUL TEORETIC ""HORVATH JANOS"" MARGHITA</b><br/>Real/Liceal/Zi",<b>(219) Matematică-Informatică</b><br/>Limba maghiară
BH,,,,,4.54,,,,,,,"<b>LICEUL TEORETIC ""HORVATH JANOS"" MARGHITA</b><br/>Real/Liceal/Zi",<b>(220) Ştiinţe ale Naturii</b><br/>Limba maghiară
BH,,,,,6.35,,,,,,,"<b>COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" MARGHITA</b><br/>Umanist/Liceal/Zi",<b>(124) Filologie</b><br/>Limba română
BH,,,,,7.52,,,,,,,"<b>COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" MARGHITA</b><br/>Real/Liceal/Zi",<b>(125) Matematică-Informatică</b><br/>Limba română
BH,,,,,5.86,,,,,,,"<b>COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" MARGHITA</b><br/>Real/Liceal/Zi",<b>(126) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,4.89,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 SALONTA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(188) Agricultură</b><br/>Limba română
BH,,,,,5.39,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 SALONTA</b><br/>Servicii/Liceal/Zi,<b>(189) Economic</b><br/>Limba română
BH,,,,,5.04,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 SALONTA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(190) Industrie alimentară</b><br/>Limba română
BH,,,,,5.35,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 SALONTA</b><br/>Servicii/Liceal/Zi,<b>(191) Turism şi alimentaţie</b><br/>Limba română
BH,,,,,6.43,,,,,,,"<b>COLEGIUL NAȚIONAL ""TEODOR NEȘ"" SALONTA</b><br/>Umanist/Liceal/Zi",<b>(134) Filologie</b><br/>Limba română
BH,,,,,7.47,,,,,,,"<b>COLEGIUL NAȚIONAL ""TEODOR NEȘ"" SALONTA</b><br/>Real/Liceal/Zi",<b>(135) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.08,,,,,,,"<b>COLEGIUL NAȚIONAL ""TEODOR NEȘ"" SALONTA</b><br/>Umanist/Liceal/Zi",<b>(136) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,5.51,,,,,,,"<b>LICEUL TEORETIC ""ARANY JANOS"" SALONTA</b><br/>Real/Liceal/Zi",<b>(147) Ştiinţe ale Naturii</b><br/>Limba maghiară
BH,,,,,4.69,,,,,,,"<b>LICEUL TEORETIC ""ARANY JANOS"" SALONTA</b><br/>Umanist/Liceal/Zi",<b>(210) Filologie</b><br/>Limba maghiară
BH,,,,,6.04,,,,,,,"<b>LICEUL TEORETIC ""ARANY JANOS"" SALONTA</b><br/>Real/Liceal/Zi",<b>(211) Matematică-Informatică</b><br/>Limba maghiară
BH,,,,,3.30,,,,,,,"<b>LICEUL TEORETIC ""GABRIEL ŢEPELEA"" BOROD</b><br/>Real/Liceal/Zi",<b>(217) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,3.32,,,,,,,<b>LICEUL TEORETIC NR.1 BRATCA</b><br/>Real/Liceal/Zi,<b>(228) Matematică-Informatică</b><br/>Limba română
BH,,,,,4.84,,,,,,,<b>LICEUL TEORETIC NR.1 BRATCA</b><br/>Umanist/Liceal/Zi,<b>(229) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,5.67,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 DOBREŞTI</b><br/>Servicii/Liceal/Zi,<b>(186) Economic</b><br/>Limba română
BH,,,,,3.95,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 POPEȘTI</b><br/>Umanist/Liceal/Zi,<b>(187) Filologie</b><br/>Limba română
BH,,,,,3.71,,,,,,,"<b>LICEUL TEORETIC ""JOZEF KOZACEK"" BUDOI</b><br/>Umanist/Liceal/Zi",<b>(221) Filologie</b><br/>Limba slovacă
BH,,,,,4.13,,,,,,,"<b>LICEUL TEORETIC ""PETOFI SANDOR"" SĂCUENI</b><br/>Umanist/Liceal/Zi",<b>(114) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,6.06,,,,,,,"<b>LICEUL TEORETIC ""PETOFI SANDOR"" SĂCUENI</b><br/>Tehnic/Liceal/Zi",<b>(150) Electronică automatizări</b><br/>Limba maghiară
BH,,,,,5.42,,,,,,,"<b>LICEUL TEORETIC ""PETOFI SANDOR"" SĂCUENI</b><br/>Tehnic/Liceal/Zi",<b>(151) Producţie media</b><br/>Limba maghiară
BH,,,,,5.08,,,,,,,"<b>LICEUL TEORETIC ""PETOFI SANDOR"" SĂCUENI</b><br/>Umanist/Liceal/Zi",<b>(226) Filologie</b><br/>Limba maghiară
BH,,,,,4.88,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 CADEA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(159) Industrie alimentară</b><br/>Limba maghiară
BH,,,,,5.23,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 SUPLACU DE BARCĂU</b><br/>Tehnic/Liceal/Zi,<b>(192) Mecanică</b><br/>Limba română
BH,,,,,3.95,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 ŞUNCUIUŞ</b><br/>Servicii/Liceal/Zi,<b>(196) Turism şi alimentaţie</b><br/>Limba română
BH,,,,,6.32,,,,,,,"<b>LICEUL TEORETIC ""NICOLAE JIGA"" TINCA</b><br/>Umanist/Liceal/Zi",<b>(224) Filologie</b><br/>Limba română
BH,,,,,3.76,,,,,,,"<b>LICEUL TEORETIC ""NICOLAE JIGA"" TINCA</b><br/>Real/Liceal/Zi",<b>(225) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.08,,,,,,,<b>COLEGIUL TEHNIC NR.1 VADU CRIŞULUI</b><br/>Servicii/Liceal/Zi,<b>(156) Economic</b><br/>Limba română
BH,,,,,5.32,,,,,,,<b>COLEGIUL TEHNIC NR.1 VADU CRIŞULUI</b><br/>Umanist/Liceal/Zi,<b>(157) Filologie</b><br/>Limba română
BH,,,,,2.90,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 VALEA LUI MIHAI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(194) Agricultură</b><br/>Limba română
BH,,,,,5.13,,,,,,,<b>LICEUL TEHNOLOGIC NR.1 VALEA LUI MIHAI</b><br/>Real/Liceal/Zi,<b>(195) Ştiinţe ale Naturii</b><br/>Limba maghiară
BH,,,,,7.82,,,,,,,"<b>LICEUL SANITAR ""VASILE VOICULESCU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(197) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,8.31,,,,,,,"<b>LICEUL TEORETIC ""AUREL LAZĂR"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(110) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,8.28,,,,,,,"<b>LICEUL TEORETIC ""AUREL LAZĂR"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(212) Filologie</b><br/>Limba română
BH,,,,,8.94,,,,,,,"<b>LICEUL TEORETIC ""AUREL LAZĂR"" ORADEA</b><br/>Real/Liceal/Zi",<b>(213) Matematică-Informatică</b><br/>Limba română
BH,,,,,8.86,,,,,,,"<b>LICEUL TEORETIC ""AUREL LAZĂR"" ORADEA</b><br/>Real/Liceal/Zi",<b>(214) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,5.80,,,,,,,"<b>LICEUL TEHNOLOGIC ""CONSTANTIN BRÂNCUȘI"" ORADEA</b><br/>Tehnic/Liceal/Zi","<b>(173) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
BH,,,,,5.99,,,,,,,"<b>LICEUL TEHNOLOGIC ""CONSTANTIN BRÂNCUȘI"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(174) Estetica şi igiena corpului omenesc</b><br/>Limba română
BH,,,,,8.52,,,,,,,"<b>LICEUL GRECO-CATOLIC ""IULIU MANIU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(166) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.43,,,,,,,"<b>COLEGIUL TEHNIC ""MIHAI VITEAZUL"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(145) Economic</b><br/>Limba română
BH,,,,,6.24,,,,,,,"<b>COLEGIUL TEHNIC ""MIHAI VITEAZUL"" ORADEA</b><br/>Tehnic/Liceal/Zi",<b>(146) Electronică automatizări</b><br/>Limba română
BH,,,,,6.14,,,,,,,"<b>COLEGIUL TEHNIC ""MIHAI VITEAZUL"" ORADEA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(148) Industrie alimentară</b><br/>Limba română
BH,,,,,6.61,,,,,,,"<b>COLEGIUL TEHNIC ""MIHAI VITEAZUL"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(149) Turism şi alimentaţie</b><br/>Limba română
BH,,,,,5.62,,,,,,,"<b>LICEUL REFORMAT ""LORANTFFY ZSUZSANNA"" ORADEA</b><br/>Tehnic/Liceal/Zi",<b>(170) Electric</b><br/>Limba maghiară
BH,,,,,8.72,,,,,,,"<b>COLEGIUL NAȚIONAL ""IOSIF VULCAN"" ORADEA</b><br/>Real/Liceal/Zi",<b>(115) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,7.78,,,,,,,"<b>COLEGIUL NAȚIONAL ""IOSIF VULCAN"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(112) Filologie</b><br/>Limba română
BH,,,,,8.24,,,,,,,"<b>COLEGIUL NAȚIONAL ""IOSIF VULCAN"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(111) Filologie</b><br/>Limba română
BH,,,,,8.22,,,,,,,"<b>COLEGIUL NAȚIONAL ""ONISIFOR GHIBU"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(127) Filologie</b><br/>Limba română
BH,,,,,9.42,,,,,,,"<b>COLEGIUL NAȚIONAL ""ONISIFOR GHIBU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(128) Matematică-Informatică</b><br/>Limba română
BH,,,,,8.96,,,,,,,"<b>COLEGIUL NAȚIONAL ""ONISIFOR GHIBU"" ORADEA</b><br/>Real/Liceal/Zi",<b>(129) Ştiinţe ale Naturii</b><br/>Limba română
BH,,,,,8.94,,,,,,,"<b>LICEUL TEOLOGIC BAPTIST ""EMANUEL"" ORADEA</b><br/>Real/Liceal/Zi",<b>(198) Matematică-Informatică</b><br/>Limba română
BH,,,,,6.15,,,,,,,"<b>COLEGIUL TEHNIC ""TRAIAN VUIA"" ORADEA</b><br/>Tehnic/Liceal/Zi",<b>(152) Electric</b><br/>Limba română
BH,,,,,5.95,,,,,,,"<b>COLEGIUL TEHNIC ""TRAIAN VUIA"" ORADEA</b><br/>Tehnic/Liceal/Zi",<b>(153) Electromecanică</b><br/>Limba română
BH,,,,,5.82,,,,,,,"<b>COLEGIUL TEHNIC ""TRAIAN VUIA"" ORADEA</b><br/>Tehnic/Liceal/Zi",<b>(154) Mecanică</b><br/>Limba română
BH,,,,,6.30,,,,,,,"<b>COLEGIUL TEHNIC ""TRAIAN VUIA"" ORADEA</b><br/>Servicii/Liceal/Zi",<b>(155) Turism şi alimentaţie</b><br/>Limba română
BH,,,,,7.89,,,,,,,"<b>LICEUL TEORETIC ""LUCIAN BLAGA"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(113) Ştiinţe Sociale</b><br/>Limba română
BH,,,,,8.07,,,,,,,"<b>LICEUL TEORETIC ""LUCIAN BLAGA"" ORADEA</b><br/>Umanist/Liceal/Zi",<b>(222) Filologie</b><br/>Limba română
BH,,,,,8.10,,,,,,,"<b>LICEUL TEORETIC ""LUCIAN BLAGA"" ORADEA</b><br/>Real/Liceal/Zi",<b>(223) Matematică-Informatică</b><br/>Limba română
BN,,,,,4.66,,,,,,,"<b>LICEUL TEORETIC ""CONSTANTIN ROMANU VIVU"" TEACA</b><br/>Umanist/Liceal/Zi",<b>(157) Filologie</b><br/>Limba română
BN,,,,,4.75,,,,,,,<b>LICEUL TEHNOLOGIC TELCIU</b><br/>Tehnic/Liceal/Zi,<b>(156) Mecanică</b><br/>Limba română
BN,,,,,6.69,,,,,,,"<b>LICEUL TEHNOLOGIC ""GRIGORE MOISIL"" BISTRIȚA</b><br/>Servicii/Liceal/Zi",<b>(142) Economic</b><br/>Limba română
BN,,,,,6.23,,,,,,,"<b>LICEUL TEHNOLOGIC ""GRIGORE MOISIL"" BISTRIȚA</b><br/>Tehnic/Liceal/Zi",<b>(143) Mecanică</b><br/>Limba română
BN,,,,,8.64,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA</b><br/>Servicii/Liceal/Zi",<b>(101) Economic</b><br/>Limba română
BN,,,,,9.03,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA</b><br/>Real/Liceal/Zi",<b>(102) Matematică-Informatică</b><br/>Limba română
BN,,,,,6.84,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA</b><br/>Real/Liceal/Zi",<b>(103) Ştiinţe ale Naturii</b><br/>Limba maghiară
BN,,,,,8.99,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA</b><br/>Real/Liceal/Zi",<b>(104) Ştiinţe ale Naturii</b><br/>Limba română
BN,,,,,8.39,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA</b><br/>Umanist/Liceal/Zi",<b>(105) Filologie</b><br/>Limba română
BN,,,,,5.62,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA</b><br/>Umanist/Liceal/Zi",<b>(106) Ştiinţe Sociale</b><br/>Limba maghiară
BN,,,,,8.65,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA</b><br/>Umanist/Liceal/Zi",<b>(107) Ştiinţe Sociale</b><br/>Limba română
BN,,,,,6.84,,,,,,,<b>LICEUL CU PROGRAM SPORTIV BISTRIȚA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(128) Protecţia mediului</b><br/>Limba română
BN,,,,,6.96,,,,,,,<b>LICEUL CU PROGRAM SPORTIV BISTRIȚA</b><br/>Servicii/Liceal/Zi,<b>(130) Turism şi alimentaţie</b><br/>Limba română
BN,,,,,7.38,,,,,,,<b>LICEUL TEORETIC SANITAR BISTRIȚA</b><br/>Real/Liceal/Zi,<b>(165) Ştiinţe ale Naturii</b><br/>Limba română
BN,,,,,5.83,,,,,,,<b>LICEUL TEHNOLOGIC BISTRIȚA</b><br/>Servicii/Liceal/Zi,<b>(151) Economic</b><br/>Limba română
BN,,,,,9.02,,,,,,,"<b>COLEGIUL NAȚIONAL ""LIVIU REBREANU"" BISTRIȚA</b><br/>Real/Liceal/Zi",<b>(113) Matematică-Informatică</b><br/>Limba română
BN,,,,,6.43,,,,,,,"<b>COLEGIUL NAȚIONAL ""LIVIU REBREANU"" BISTRIȚA</b><br/>Real/Liceal/Zi",<b>(114) Ştiinţe ale Naturii</b><br/>Limba germană
BN,,,,,8.57,,,,,,,"<b>COLEGIUL NAȚIONAL ""LIVIU REBREANU"" BISTRIȚA</b><br/>Real/Liceal/Zi",<b>(115) Ştiinţe ale Naturii</b><br/>Limba română
BN,,,,,8.01,,,,,,,"<b>COLEGIUL NAȚIONAL ""LIVIU REBREANU"" BISTRIȚA</b><br/>Umanist/Liceal/Zi",<b>(117) Filologie</b><br/>Limba română
BN,,,,,8.89,,,,,,,"<b>COLEGIUL NAȚIONAL ""LIVIU REBREANU"" BISTRIȚA</b><br/>Real/Liceal/Zi",<b>(116) Ştiinţe ale Naturii</b><br/>Limba română
BN,,,,,8.48,,,,,,,"<b>COLEGIUL NAȚIONAL ""LIVIU REBREANU"" BISTRIȚA</b><br/>Umanist/Liceal/Zi",<b>(118) Ştiinţe Sociale</b><br/>Limba română
BN,,,,,7.44,,,,,,,"<b>COLEGIUL TEHNIC ""INFOEL"" BISTRIȚA</b><br/>Servicii/Liceal/Zi",<b>(124) Economic</b><br/>Limba română
BN,,,,,6.73,,,,,,,"<b>COLEGIUL TEHNIC ""INFOEL"" BISTRIȚA</b><br/>Tehnic/Liceal/Zi",<b>(125) Electric</b><br/>Limba română
BN,,,,,6.78,,,,,,,"<b>COLEGIUL TEHNIC ""INFOEL"" BISTRIȚA</b><br/>Tehnic/Liceal/Zi",<b>(126) Electronică automatizări</b><br/>Limba română
