ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AB,,,,,7.72,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARȚIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(101) Comerţ</b><br/>Limba română
AB,,,,,8.40,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARȚIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română
AB,,,,,7.82,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARȚIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(103) Turism şi alimentaţie</b><br/>Limba română
AB,,,,,6.95,,,,,,,"<b>COLEGIUL NAȚIONAL ""AVRAM IANCU"" CÂMPENI</b><br/>Umanist/Liceal/Zi",<b>(104) Filologie</b><br/>Limba română
AB,,,,,7.67,,,,,,,"<b>COLEGIUL NAȚIONAL ""AVRAM IANCU"" CÂMPENI</b><br/>Real/Liceal/Zi",<b>(105) Matematică-Informatică</b><br/>Limba română
AB,,,,,7.37,,,,,,,"<b>COLEGIUL NAȚIONAL ""AVRAM IANCU"" CÂMPENI</b><br/>Real/Liceal/Zi",<b>(106) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,5.95,,,,,,,"<b>COLEGIUL NAȚIONAL ""AVRAM IANCU"" CÂMPENI</b><br/>Umanist/Liceal/Zi",<b>(107) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,7.36,,,,,,,"<b>COLEGIUL NAȚIONAL ""BETHLEN GABOR"" AIUD</b><br/>Real/Liceal/Zi",<b>(109) Matematică-Informatică</b><br/>Limba maghiară
AB,,,,,7.03,,,,,,,"<b>COLEGIUL NAȚIONAL ""BETHLEN GABOR"" AIUD</b><br/>Real/Liceal/Zi",<b>(111) Ştiinţe ale Naturii</b><br/>Limba maghiară
AB,,,,,5.77,,,,,,,"<b>COLEGIUL NAȚIONAL ""DAVID PRODAN"" CUGIR</b><br/>Umanist/Liceal/Zi",<b>(113) Filologie</b><br/>Limba română
