ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AB,,,,,7.92,,,,,,,"<b>COLEGIUL NAȚIONAL ""DAVID PRODAN"" CUGIR</b><br/>Real/Liceal/Zi",<b>(114) Matematică-Informatică</b><br/>Limba română
AB,,,,,6.77,,,,,,,"<b>COLEGIUL NAȚIONAL ""DAVID PRODAN"" CUGIR</b><br/>Real/Liceal/Zi",<b>(115) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,9.02,,,,,,,"<b>COLEGIUL NAȚIONAL ""HOREA, CLOȘCA ȘI CRIȘAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(116) Filologie</b><br/>Limba română
AB,,,,,8.52,,,,,,,"<b>COLEGIUL NAȚIONAL ""HOREA, CLOȘCA ȘI CRIȘAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(117) Filologie</b><br/>Limba română
AB,,,,,9.30,,,,,,,"<b>COLEGIUL NAȚIONAL ""HOREA, CLOȘCA ȘI CRIȘAN"" ALBA IULIA</b><br/>Real/Liceal/Zi",<b>(118) Matematică-Informatică</b><br/>Limba română
AB,,,,,9.45,,,,,,,"<b>COLEGIUL NAȚIONAL ""HOREA, CLOȘCA ȘI CRIȘAN"" ALBA IULIA</b><br/>Real/Liceal/Zi",<b>(119) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,9.02,,,,,,,"<b>COLEGIUL NAȚIONAL ""HOREA, CLOȘCA ȘI CRIȘAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(120) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,7.12,,,,,,,"<b>COLEGIUL NAȚIONAL ""INOCHENTIE MICU CLAIN"" BLAJ</b><br/>Umanist/Liceal/Zi",<b>(122) Filologie</b><br/>Limba română
AB,,,,,7.37,,,,,,,"<b>COLEGIUL NAȚIONAL ""INOCHENTIE MICU CLAIN"" BLAJ</b><br/>Real/Liceal/Zi",<b>(123) Matematică-Informatică</b><br/>Limba română
AB,,,,,7.77,,,,,,,"<b>COLEGIUL NAȚIONAL ""INOCHENTIE MICU CLAIN"" BLAJ</b><br/>Real/Liceal/Zi",<b>(125) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.82,,,,,,,"<b>COLEGIUL NAȚIONAL ""LUCIAN BLAGA"" SEBEȘ</b><br/>Umanist/Liceal/Zi",<b>(126) Filologie</b><br/>Limba română
AB,,,,,8.85,,,,,,,"<b>COLEGIUL NAȚIONAL ""LUCIAN BLAGA"" SEBEȘ</b><br/>Real/Liceal/Zi",<b>(127) Matematică-Informatică</b><br/>Limba română
AB,,,,,8.70,,,,,,,"<b>COLEGIUL NAȚIONAL ""LUCIAN BLAGA"" SEBEȘ</b><br/>Real/Liceal/Zi",<b>(128) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.20,,,,,,,"<b>COLEGIUL NAȚIONAL ""LUCIAN BLAGA"" SEBEȘ</b><br/>Umanist/Liceal/Zi",<b>(129) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,7.00,,,,,,,"<b>COLEGIUL NAȚIONAL ""TITU MAIORESCU"" AIUD</b><br/>Umanist/Liceal/Zi",<b>(130) Filologie</b><br/>Limba română
AB,,,,,8.05,,,,,,,"<b>COLEGIUL NAȚIONAL ""TITU MAIORESCU"" AIUD</b><br/>Real/Liceal/Zi",<b>(131) Matematică-Informatică</b><br/>Limba română
AB,,,,,6.57,,,,,,,"<b>COLEGIUL NAȚIONAL ""TITU MAIORESCU"" AIUD</b><br/>Real/Liceal/Zi",<b>(132) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.02,,,,,,,"<b>COLEGIUL TEHNIC ""APULUM"" ALBA IULIA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(133) Chimie industrială</b><br/>Limba română
AB,,,,,6.97,,,,,,,"<b>COLEGIUL TEHNIC ""APULUM"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(134) Estetica şi igiena corpului omenesc</b><br/>Limba română
AB,,,,,5.10,,,,,,,"<b>LICEUL ""CORNELIU MEDREA"" ZLATNA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(135) Protecţia mediului</b><br/>Limba română
AB,,,,,3.82,,,,,,,"<b>LICEUL ""DR. LAZĂR CHIRILĂ"" BAIA DE ARIEȘ</b><br/>Umanist/Liceal/Zi",<b>(136) Filologie</b><br/>Limba română
AB,,,,,3.82,,,,,,,"<b>LICEUL ""DR. LAZĂR CHIRILĂ"" BAIA DE ARIEȘ</b><br/>Real/Liceal/Zi",<b>(138) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.35,,,,,,,"<b>LICEUL ""HOREA, CLOȘCA ȘI CRIȘAN"" ABRUD</b><br/>Real/Liceal/Zi",<b>(140) Matematică-Informatică</b><br/>Limba română
AB,,,,,5.22,,,,,,,"<b>LICEUL ""HOREA, CLOȘCA ȘI CRIȘAN"" ABRUD</b><br/>Real/Liceal/Zi",<b>(142) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,5.42,,,,,,,<b>LICEUL GERMAN SEBEȘ</b><br/>Umanist/Liceal/Zi,<b>(148) Filologie</b><br/>Limba germană
AB,,,,,5.62,,,,,,,<b>LICEUL GERMAN SEBEȘ</b><br/>Real/Liceal/Zi,<b>(149) Ştiinţe ale Naturii</b><br/>Limba germană
AB,,,,,5.75,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU DOMȘA"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(150) Electric</b><br/>Limba română
AB,,,,,5.92,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU DOMȘA"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(151) Electronică automatizări</b><br/>Limba română
AB,,,,,5.60,,,,,,,"<b>LICEUL TEHNOLOGIC ""DORIN PAVEL"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi","<b>(152) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AB,,,,,4.62,,,,,,,"<b>LICEUL TEHNOLOGIC ""ION D. LĂZĂRESCU"" CUGIR</b><br/>Servicii/Liceal/Zi",<b>(153) Economic</b><br/>Limba română
AB,,,,,3.62,,,,,,,"<b>LICEUL TEHNOLOGIC ""ION D. LĂZĂRESCU"" CUGIR</b><br/>Tehnic/Liceal/Zi",<b>(154) Electric</b><br/>Limba română
AB,,,,,4.97,,,,,,,"<b>LICEUL TEHNOLOGIC ""ȘTEFAN MANCIULEA"" BLAJ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(156) Agricultură</b><br/>Limba română
AB,,,,,6.25,,,,,,,"<b>LICEUL TEHNOLOGIC ""ȘTEFAN MANCIULEA"" BLAJ</b><br/>Servicii/Liceal/Zi",<b>(157) Economic</b><br/>Limba română
AB,,,,,3.40,,,,,,,"<b>LICEUL TEHNOLOGIC AGRICOL ""ALEXANDRU BORZA"" CIUMBRUD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(159) Agricultură</b><br/>Limba română
AB,,,,,5.40,,,,,,,<b>LICEUL TEHNOLOGIC AIUD</b><br/>Servicii/Liceal/Zi,<b>(160) Economic</b><br/>Limba română
AB,,,,,4.57,,,,,,,<b>LICEUL TEHNOLOGIC AIUD</b><br/>Tehnic/Liceal/Zi,<b>(162) Mecanică</b><br/>Limba română
AB,,,,,6.75,,,,,,,<b>LICEUL TEHNOLOGIC SEBEȘ</b><br/>Servicii/Liceal/Zi,<b>(164) Comerţ</b><br/>Limba română
AB,,,,,7.55,,,,,,,<b>LICEUL TEHNOLOGIC SEBEȘ</b><br/>Servicii/Liceal/Zi,<b>(165) Economic</b><br/>Limba română
AB,,,,,5.77,,,,,,,<b>LICEUL TEHNOLOGIC SEBEȘ</b><br/>Tehnic/Liceal/Zi,<b>(166) Electronică automatizări</b><br/>Limba română
AB,,,,,5.62,,,,,,,<b>LICEUL TEHNOLOGIC SEBEȘ</b><br/>Tehnic/Liceal/Zi,<b>(167) Industrie textilă şi pielărie</b><br/>Limba română
AB,,,,,4.20,,,,,,,<b>LICEUL TEHNOLOGIC SILVIC CÂMPENI</b><br/>Servicii/Liceal/Zi,<b>(168) Economic</b><br/>Limba română
AB,,,,,5.15,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MUREȘ</b><br/>Umanist/Liceal/Zi",<b>(172) Filologie</b><br/>Limba română
AB,,,,,4.70,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MUREȘ</b><br/>Real/Liceal/Zi",<b>(173) Matematică-Informatică</b><br/>Limba română
AB,,,,,4.10,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MUREȘ</b><br/>Real/Liceal/Zi",<b>(174) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.22,,,,,,,<b>LICEUL TEORETIC TEIUȘ</b><br/>Umanist/Liceal/Zi,<b>(175) Filologie</b><br/>Limba română
AB,,,,,5.82,,,,,,,<b>LICEUL TEORETIC TEIUȘ</b><br/>Real/Liceal/Zi,<b>(176) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.57,,,,,,,"<b>SEMINARUL TEOLOGIC ORTODOX ""SFÂNTUL SIMION ȘTEFAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(177) Filologie</b><br/>Limba română
AB,,,,,7.47,,,,,,,"<b>SEMINARUL TEOLOGIC ORTODOX ""SFÂNTUL SIMION ȘTEFAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(179) Ştiinţe Sociale</b><br/>Limba română
AR,,,,,4.90,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Servicii/Liceal/Zi",<b>(101) Comerţ</b><br/>Limba română
AR,,,,,5.80,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română
AR,,,,,6.75,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Umanist/Liceal/Zi",<b>(103) Filologie</b><br/>Limba română
AR,,,,,6.82,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Real/Liceal/Zi",<b>(104) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.20,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Tehnic/Liceal/Zi",<b>(105) Mecanică</b><br/>Limba română
AR,,,,,4.80,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Real/Liceal/Zi",<b>(106) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,6.87,,,,,,,<b>COLEGIUL ECONOMIC ARAD</b><br/>Servicii/Liceal/Zi,<b>(111) Economic</b><br/>Limba română
AR,,,,,6.72,,,,,,,<b>COLEGIUL ECONOMIC ARAD</b><br/>Servicii/Liceal/Zi,<b>(112) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,7.52,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(113) Filologie</b><br/>Limba română
AR,,,,,7.52,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(114) Filologie</b><br/>Limba română
AR,,,,,7.52,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Real/Liceal/Zi",<b>(115) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.07,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Real/Liceal/Zi",<b>(116) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,8.05,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(117) Filologie</b><br/>Limba română
AR,,,,,8.47,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(118) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.22,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(119) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,9.05,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(120) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,8.00,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(122) Filologie</b><br/>Limba română
AR,,,,,8.80,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Real/Liceal/Zi",<b>(123) Matematică-Informatică</b><br/>Limba română
AR,,,,,7.47,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(125) Filologie</b><br/>Limba română
AR,,,,,7.52,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(126) Filologie</b><br/>Limba română
AR,,,,,7.42,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Real/Liceal/Zi",<b>(127) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.32,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Real/Liceal/Zi",<b>(128) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,6.18,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(129) Economic</b><br/>Limba maghiară
AR,,,,,6.93,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Real/Liceal/Zi",<b>(130) Matematică-Informatică</b><br/>Limba maghiară
AR,,,,,2.25,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(131) Turism şi alimentaţie</b><br/>Limba maghiară
AR,,,,,7.70,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Real/Liceal/Zi",<b>(132) Ştiinţe ale Naturii</b><br/>Limba maghiară
AR,,,,,4.65,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(133) Ştiinţe Sociale</b><br/>Limba maghiară
AR,,,,,3.17,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Tehnic/Liceal/Zi",<b>(134) Electric</b><br/>Limba română
AR,,,,,4.87,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Umanist/Liceal/Zi",<b>(135) Filologie</b><br/>Limba română
AR,,,,,4.20,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Real/Liceal/Zi",<b>(136) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.47,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Umanist/Liceal/Zi",<b>(138) Filologie</b><br/>Limba română
AR,,,,,2.35,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Real/Liceal/Zi",<b>(139) Matematică-Informatică</b><br/>Limba română
AR,,,,,1.65,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(140) Silvicultură</b><br/>Limba română
AR,,,,,3.82,,,,,,,"<b>LICEUL ""SEVER BOCU"" LIPOVA</b><br/>Servicii/Liceal/Zi",<b>(141) Comerţ</b><br/>Limba română
AR,,,,,4.87,,,,,,,"<b>LICEUL ""SEVER BOCU"" LIPOVA</b><br/>Servicii/Liceal/Zi",<b>(142) Economic</b><br/>Limba română
AR,,,,,7.07,,,,,,,<b>LICEUL NAŢIONAL DE INFORMATICĂ ARAD</b><br/>Real/Liceal/Zi,<b>(144) Matematică-Informatică</b><br/>Limba română
AR,,,,,7.22,,,,,,,<b>LICEUL NAŢIONAL DE INFORMATICĂ ARAD</b><br/>Real/Liceal/Zi,<b>(145) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,4.25,,,,,,,"<b>LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(146) Electric</b><br/>Limba română
AR,,,,,3.00,,,,,,,"<b>LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(147) Mecanică</b><br/>Limba română
AR,,,,,1.60,,,,,,,"<b>LICEUL TEHNOLOGIC ""EMIL CRĂCIUN LĂZUREANU"" BELIU</b><br/>Servicii/Liceal/Zi",<b>(148) Economic</b><br/>Limba română
AR,,,,,4.07,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(149) Comerţ</b><br/>Limba română
AR,,,,,4.25,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(150) Estetica şi igiena corpului omenesc</b><br/>Limba română
AR,,,,,3.05,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(151) Fabricarea produselor din lemn</b><br/>Limba română
AR,,,,,2.70,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(152) Industrie textilă şi pielărie</b><br/>Limba română
AR,,,,,2.60,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(154) Silvicultură</b><br/>Limba română
AR,,,,,5.02,,,,,,,"<b>LICEUL TEHNOLOGIC ""ION CREANGĂ"" CURTICI</b><br/>Real/Liceal/Zi",<b>(155) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,2.02,,,,,,,"<b>LICEUL TEHNOLOGIC ""MOGA VOIEVOD"" HĂLMAGIU</b><br/>Servicii/Liceal/Zi",<b>(156) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,2.40,,,,,,,"<b>LICEUL TEHNOLOGIC ""SAVA BRANCOVICI"" INEU</b><br/>Tehnic/Liceal/Zi","<b>(158) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AR,,,,,3.67,,,,,,,"<b>LICEUL TEHNOLOGIC ""SAVA BRANCOVICI"" INEU</b><br/>Servicii/Liceal/Zi",<b>(160) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,4.25,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN HELL"" SÂNTANA</b><br/>Servicii/Liceal/Zi",<b>(161) Economic</b><br/>Limba română
AR,,,,,2.75,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN HELL"" SÂNTANA</b><br/>Tehnic/Liceal/Zi",<b>(162) Mecanică</b><br/>Limba română
AR,,,,,4.70,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN HELL"" SÂNTANA</b><br/>Umanist/Liceal/Zi",<b>(163) Ştiinţe Sociale</b><br/>Limba română
AR,,,,,2.22,,,,,,,"<b>LICEUL TEHNOLOGIC ""VASILE JUNCU"" MINIŞ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(165) Agricultură</b><br/>Limba română
AR,,,,,2.05,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Servicii/Liceal/Zi,<b>(167) Economic</b><br/>Limba română
AR,,,,,2.10,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Tehnic/Liceal/Zi,<b>(168) Mecanică</b><br/>Limba română
AR,,,,,2.55,,,,,,,<b>LICEUL TEHNOLOGIC DE CONSTRUCŢII ŞI PROTECŢIA MEDIULUI ARAD</b><br/>Tehnic/Liceal/Zi,"<b>(170) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AR,,,,,4.60,,,,,,,<b>LICEUL TEHNOLOGIC DE CONSTRUCŢII ŞI PROTECŢIA MEDIULUI ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(171) Protecţia mediului</b><br/>Limba română
AR,,,,,4.22,,,,,,,"<b>LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI ""CAIUS IACOB"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(172) Electric</b><br/>Limba română
AR,,,,,2.30,,,,,,,"<b>LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI ""CAIUS IACOB"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(173) Electronică automatizări</b><br/>Limba română
AR,,,,,5.02,,,,,,,<b>LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(174) Agricultură</b><br/>Limba română
AR,,,,,5.27,,,,,,,<b>LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(175) Industrie alimentară</b><br/>Limba română
AR,,,,,2.17,,,,,,,"<b>LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO ""HENRI COANDĂ"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(178) Mecanică</b><br/>Limba română
AR,,,,,3.67,,,,,,,<b>LICEUL TEHNOLOGIC VINGA</b><br/>Servicii/Liceal/Zi,<b>(179) Economic</b><br/>Limba română
AR,,,,,3.15,,,,,,,<b>LICEUL TEHNOLOGIC ”REGELE MIHAI I” SĂVÂRŞIN</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(180) Agricultură</b><br/>Limba română
AR,,,,,4.35,,,,,,,<b>LICEUL TEHNOLOGIC ”REGELE MIHAI I” SĂVÂRŞIN</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(181) Protecţia mediului</b><br/>Limba română
AR,,,,,7.30,,,,,,,"<b>LICEUL TEOLOGIC BAPTIST ""ALEXA POPOVICI"" ARAD</b><br/>Real/Liceal/Zi",<b>(182) Matematică-Informatică</b><br/>Limba română
AR,,,,,7.60,,,,,,,"<b>LICEUL TEOLOGIC BAPTIST ""ALEXA POPOVICI"" ARAD</b><br/>Real/Liceal/Zi",<b>(184) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,6.17,,,,,,,<b>LICEUL TEOLOGIC PENTICOSTAL ARAD</b><br/>Real/Liceal/Zi,<b>(185) Matematică-Informatică</b><br/>Limba română
AR,,,,,5.73,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(187) Filologie</b><br/>Limba germană
AR,,,,,6.22,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(188) Filologie</b><br/>Limba română
AR,,,,,6.56,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Real/Liceal/Zi",<b>(189) Ştiinţe ale Naturii</b><br/>Limba germană
AR,,,,,6.47,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Real/Liceal/Zi",<b>(190) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,4.20,,,,,,,"<b>LICEUL TEORETIC ""GHEORGHE LAZĂR"" PECICA</b><br/>Umanist/Liceal/Zi",<b>(192) Filologie</b><br/>Limba română
AR,,,,,3.10,,,,,,,"<b>LICEUL TEORETIC ""GHEORGHE LAZĂR"" PECICA</b><br/>Real/Liceal/Zi",<b>(193) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.47,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Umanist/Liceal/Zi",<b>(194) Filologie</b><br/>Limba română
AR,,,,,3.45,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Real/Liceal/Zi",<b>(195) Matematică-Informatică</b><br/>Limba română
AR,,,,,5.06,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Umanist/Liceal/Zi",<b>(197) Ştiinţe Sociale</b><br/>Limba slovacă
AR,,,,,5.62,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Umanist/Liceal/Zi",<b>(198) Filologie</b><br/>Limba română
AR,,,,,5.70,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(199) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.42,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(200) Ştiinţe ale Naturii</b><br/>Limba română
