ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
CJ,,,,,7.10,,,,,,,<b>LICEUL TEOLOGIC REFORMAT CLUJ-NAPOCA</b><br/>Real/Liceal/Zi,<b>(182) Ştiinţe ale Naturii</b><br/>Limba maghiară
CJ,,,,,7.26,,,,,,,<b>LICEUL TEOLOGIC REFORMAT CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi,<b>(183) Ştiinţe Sociale</b><br/>Limba maghiară
CJ,,,,,6.47,,,,,,,"<b>COLEGIUL TEHNIC ""RALUCA RIPAN"" CLUJ-NAPOCA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(140) Industrie alimentară</b><br/>Limba română
CJ,,,,,6.00,,,,,,,"<b>COLEGIUL TEHNIC ""RALUCA RIPAN"" CLUJ-NAPOCA</b><br/>Servicii/Liceal/Zi",<b>(141) Turism şi alimentaţie</b><br/>Limba română
CJ,,,,,6.30,,,,,,,<b>COLEGIUL TEHNIC ENERGETIC CLUJ-NAPOCA</b><br/>Tehnic/Liceal/Zi,<b>(151) Electric</b><br/>Limba română
CJ,,,,,7.55,,,,,,,<b>COLEGIUL TEHNIC ENERGETIC CLUJ-NAPOCA</b><br/>Tehnic/Liceal/Zi,<b>(152) Electronică automatizări</b><br/>Limba română
CJ,,,,,5.82,,,,,,,"<b>COLEGIUL TEHNIC DE TRANSPORTURI ""TRANSILVANIA"" CLUJ-NAPOCA</b><br/>Tehnic/Liceal/Zi",<b>(148) Electric</b><br/>Limba română
CJ,,,,,5.87,,,,,,,"<b>COLEGIUL TEHNIC DE TRANSPORTURI ""TRANSILVANIA"" CLUJ-NAPOCA</b><br/>Tehnic/Liceal/Zi",<b>(149) Electronică automatizări</b><br/>Limba română
CJ,,,,,3.57,,,,,,,"<b>COLEGIUL TEHNIC DE TRANSPORTURI ""TRANSILVANIA"" CLUJ-NAPOCA</b><br/>Tehnic/Liceal/Zi",<b>(150) Mecanică</b><br/>Limba română
CJ,,,,,8.10,,,,,,,"<b>COLEGIUL TEHNIC DE COMUNICAȚII ""AUGUSTIN MAIOR"" CLUJ-NAPOCA</b><br/>Servicii/Liceal/Zi",<b>(145) Economic</b><br/>Limba română
CJ,,,,,8.02,,,,,,,"<b>COLEGIUL TEHNIC DE COMUNICAȚII ""AUGUSTIN MAIOR"" CLUJ-NAPOCA</b><br/>Tehnic/Liceal/Zi",<b>(146) Electronică automatizări</b><br/>Limba română
CJ,,,,,8.20,,,,,,,"<b>COLEGIUL TEHNIC DE COMUNICAȚII ""AUGUSTIN MAIOR"" CLUJ-NAPOCA</b><br/>Tehnic/Liceal/Zi",<b>(147) Producţie media</b><br/>Limba română
CJ,,,,,8.55,,,,,,,"<b>COLEGIUL ORTODOX MITROPOLITUL ""NICOLAE COLAN"" CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi",<b>(132) Filologie</b><br/>Limba română
CJ,,,,,9.07,,,,,,,"<b>COLEGIUL ORTODOX MITROPOLITUL ""NICOLAE COLAN"" CLUJ-NAPOCA</b><br/>Real/Liceal/Zi",<b>(134) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,8.62,,,,,,,"<b>COLEGIUL NAȚIONAL PEDAGOGIC ""GHEORGHE LAZĂR"" CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi",<b>(131) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,8.87,,,,,,,"<b>COLEGIUL NAȚIONAL ""GHEORGHE ȘINCAI"" CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi",<b>(123) Filologie</b><br/>Limba română
CJ,,,,,9.45,,,,,,,"<b>COLEGIUL NAȚIONAL ""GHEORGHE ȘINCAI"" CLUJ-NAPOCA</b><br/>Real/Liceal/Zi",<b>(124) Matematică-Informatică</b><br/>Limba română
CJ,,,,,9.00,,,,,,,"<b>COLEGIUL NAȚIONAL ""GHEORGHE ȘINCAI"" CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi",<b>(125) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,7.53,,,,,,,"<b>COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi",<b>(119) Filologie</b><br/>Limba germană
CJ,,,,,8.90,,,,,,,"<b>COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" CLUJ-NAPOCA</b><br/>Real/Liceal/Zi",<b>(121) Ştiinţe ale Naturii</b><br/>Limba germană
CJ,,,,,8.65,,,,,,,"<b>COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi",<b>(122) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,8.35,,,,,,,"<b>COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" CLUJ-NAPOCA</b><br/>Real/Liceal/Zi",<b>(120) Matematică-Informatică</b><br/>Limba română
CJ,,,,,8.30,,,,,,,"<b>COLEGIUL ECONOMIC ""IULIAN POP"" CLUJ-NAPOCA</b><br/>Servicii/Liceal/Zi",<b>(107) Comerţ</b><br/>Limba română
CJ,,,,,8.57,,,,,,,"<b>COLEGIUL ECONOMIC ""IULIAN POP"" CLUJ-NAPOCA</b><br/>Servicii/Liceal/Zi",<b>(108) Economic</b><br/>Limba română
CJ,,,,,8.35,,,,,,,"<b>COLEGIUL ECONOMIC ""IULIAN POP"" CLUJ-NAPOCA</b><br/>Servicii/Liceal/Zi",<b>(109) Turism şi alimentaţie</b><br/>Limba română
CJ,,,,,6.82,,,,,,,"<b>COLEGIUL DE SERVICII ÎN TURISM ""NAPOCA"" CLUJ-NAPOCA</b><br/>Servicii/Liceal/Zi",<b>(106) Turism şi alimentaţie</b><br/>Limba română
CJ,,,,,8.70,,,,,,,"<b>LICEUL TEORETIC ""EUGEN PORA"" CLUJ-NAPOCA</b><br/>Real/Liceal/Zi",<b>(203) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,6.95,,,,,,,"<b>LICEUL TEORETIC ""EUGEN PORA"" CLUJ-NAPOCA</b><br/>Umanist/Liceal/Zi",<b>(204) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,9.65,,,,,,,"<b>LICEUL TEORETIC ""AVRAM IANCU"" CLUJ-NAPOCA</b><br/>Real/Liceal/Zi",<b>(194) Matematică-Informatică</b><br/>Limba română
CJ,,,,,9.45,,,,,,,"<b>LICEUL TEORETIC ""AVRAM IANCU"" CLUJ-NAPOCA</b><br/>Real/Liceal/Zi",<b>(195) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,6.00,,,,,,,"<b>LICEUL TEHNOLOGIC ""CONSTANTIN BRÂNCUȘI"" DEJ</b><br/>Tehnic/Liceal/Zi","<b>(168) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
CJ,,,,,7.05,,,,,,,"<b>LICEUL TEHNOLOGIC ""CONSTANTIN BRÂNCUȘI"" DEJ</b><br/>Servicii/Liceal/Zi",<b>(169) Economic</b><br/>Limba română
CJ,,,,,6.75,,,,,,,"<b>LICEUL TEHNOLOGIC ""CONSTANTIN BRÂNCUȘI"" DEJ</b><br/>Tehnic/Liceal/Zi",<b>(170) Mecanică</b><br/>Limba română
CJ,,,,,8.22,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" DEJ</b><br/>Real/Liceal/Zi",<b>(111) Matematică-Informatică</b><br/>Limba română
CJ,,,,,4.20,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" DEJ</b><br/>Real/Liceal/Zi",<b>(112) Ştiinţe ale Naturii</b><br/>Limba maghiară
CJ,,,,,8.47,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" DEJ</b><br/>Real/Liceal/Zi",<b>(113) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,8.37,,,,,,,"<b>COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" DEJ</b><br/>Umanist/Liceal/Zi",<b>(110) Filologie</b><br/>Limba română
CJ,,,,,3.75,,,,,,,"<b>LICEUL TEHNOLOGIC ""SOMEȘ"" DEJ</b><br/>Servicii/Liceal/Zi",<b>(171) Estetica şi igiena corpului omenesc</b><br/>Limba română
CJ,,,,,4.47,,,,,,,"<b>LICEUL TEHNOLOGIC ""SOMEȘ"" DEJ</b><br/>Tehnic/Liceal/Zi",<b>(172) Mecanică</b><br/>Limba română
CJ,,,,,8.82,,,,,,,"<b>LICEUL TEORETIC ""ALEXANDRU PAPIU ILARIAN"" DEJ</b><br/>Real/Liceal/Zi",<b>(185) Matematică-Informatică</b><br/>Limba română
CJ,,,,,8.22,,,,,,,"<b>LICEUL TEORETIC ""ALEXANDRU PAPIU ILARIAN"" DEJ</b><br/>Real/Liceal/Zi",<b>(187) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,7.15,,,,,,,"<b>LICEUL TEORETIC ""ALEXANDRU PAPIU ILARIAN"" DEJ</b><br/>Umanist/Liceal/Zi",<b>(184) Filologie</b><br/>Limba română
CJ,,,,,4.36,,,,,,,"<b>LICEUL TEORETIC ""JOSIKA MIKLOS"" TURDA</b><br/>Umanist/Liceal/Zi",<b>(206) Filologie</b><br/>Limba maghiară
CJ,,,,,5.60,,,,,,,"<b>LICEUL TEORETIC ""JOSIKA MIKLOS"" TURDA</b><br/>Real/Liceal/Zi",<b>(207) Ştiinţe ale Naturii</b><br/>Limba maghiară
CJ,,,,,4.07,,,,,,,<b>COLEGIUL TEHNIC TURDA</b><br/>Servicii/Liceal/Zi,<b>(153) Economic</b><br/>Limba română
CJ,,,,,4.90,,,,,,,<b>COLEGIUL TEHNIC TURDA</b><br/>Tehnic/Liceal/Zi,<b>(154) Electronică automatizări</b><br/>Limba română
CJ,,,,,3.75,,,,,,,<b>COLEGIUL TEHNIC TURDA</b><br/>Tehnic/Liceal/Zi,<b>(155) Mecanică</b><br/>Limba română
CJ,,,,,8.72,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI VITEAZUL"" TURDA</b><br/>Real/Liceal/Zi",<b>(126) Matematică-Informatică</b><br/>Limba română
CJ,,,,,8.45,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI VITEAZUL"" TURDA</b><br/>Real/Liceal/Zi",<b>(127) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,7.92,,,,,,,"<b>COLEGIUL NAȚIONAL ""MIHAI VITEAZUL"" TURDA</b><br/>Umanist/Liceal/Zi",<b>(128) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,3.97,,,,,,,"<b>COLEGIUL ""EMIL NEGRUȚIU"" TURDA</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(101) Agricultură</b><br/>Limba română
CJ,,,,,3.95,,,,,,,"<b>COLEGIUL ""EMIL NEGRUȚIU"" TURDA</b><br/>Servicii/Liceal/Zi",<b>(103) Turism şi alimentaţie</b><br/>Limba română
CJ,,,,,7.80,,,,,,,"<b>LICEUL TEORETIC ""LIVIU REBREANU"" TURDA</b><br/>Real/Liceal/Zi",<b>(211) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,7.60,,,,,,,"<b>LICEUL TEORETIC ""LIVIU REBREANU"" TURDA</b><br/>Umanist/Liceal/Zi",<b>(212) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,7.37,,,,,,,"<b>LICEUL TEORETIC ""PAVEL DAN"" CÂMPIA TURZII</b><br/>Umanist/Liceal/Zi",<b>(230) Filologie</b><br/>Limba română
CJ,,,,,7.82,,,,,,,"<b>LICEUL TEORETIC ""PAVEL DAN"" CÂMPIA TURZII</b><br/>Real/Liceal/Zi",<b>(231) Matematică-Informatică</b><br/>Limba română
CJ,,,,,7.45,,,,,,,"<b>LICEUL TEORETIC ""PAVEL DAN"" CÂMPIA TURZII</b><br/>Real/Liceal/Zi",<b>(232) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,5.02,,,,,,,"<b>COLEGIUL TEHNIC ""VICTOR UNGUREANU"" CÂMPIA TURZII</b><br/>Servicii/Liceal/Zi",<b>(142) Economic</b><br/>Limba română
CJ,,,,,4.87,,,,,,,"<b>COLEGIUL TEHNIC ""VICTOR UNGUREANU"" CÂMPIA TURZII</b><br/>Tehnic/Liceal/Zi",<b>(143) Electronică automatizări</b><br/>Limba română
CJ,,,,,3.60,,,,,,,"<b>COLEGIUL TEHNIC ""VICTOR UNGUREANU"" CÂMPIA TURZII</b><br/>Tehnic/Liceal/Zi",<b>(144) Mecanică</b><br/>Limba română
CJ,,,,,3.20,,,,,,,"<b>LICEUL TEORETIC ""KEMÉNY ZSIGMOND"" GHERLA</b><br/>Umanist/Liceal/Zi",<b>(208) Filologie</b><br/>Limba maghiară
CJ,,,,,5.08,,,,,,,"<b>LICEUL TEORETIC ""KEMÉNY ZSIGMOND"" GHERLA</b><br/>Real/Liceal/Zi",<b>(209) Ştiinţe ale Naturii</b><br/>Limba maghiară
CJ,,,,,6.37,,,,,,,"<b>LICEUL TEORETIC ""ANA IPĂTESCU"" GHERLA</b><br/>Umanist/Liceal/Zi",<b>(188) Filologie</b><br/>Limba română
CJ,,,,,6.15,,,,,,,"<b>LICEUL TEORETIC ""ANA IPĂTESCU"" GHERLA</b><br/>Real/Liceal/Zi",<b>(189) Matematică-Informatică</b><br/>Limba română
CJ,,,,,6.15,,,,,,,"<b>LICEUL TEORETIC ""ANA IPĂTESCU"" GHERLA</b><br/>Umanist/Liceal/Zi",<b>(190) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,3.32,,,,,,,<b>LICEUL TEHNOLOGIC GHERLA</b><br/>Servicii/Liceal/Zi,<b>(175) Economic</b><br/>Limba română
CJ,,,,,4.82,,,,,,,<b>LICEUL TEHNOLOGIC GHERLA</b><br/>Servicii/Liceal/Zi,<b>(176) Turism şi alimentaţie</b><br/>Limba română
CJ,,,,,6.65,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" GHERLA</b><br/>Umanist/Liceal/Zi",<b>(233) Filologie</b><br/>Limba română
CJ,,,,,8.75,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" GHERLA</b><br/>Real/Liceal/Zi",<b>(234) Matematică-Informatică</b><br/>Limba română
CJ,,,,,7.52,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" GHERLA</b><br/>Real/Liceal/Zi",<b>(235) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,7.42,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" GHERLA</b><br/>Umanist/Liceal/Zi",<b>(236) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,5.10,,,,,,,"<b>LICEUL TEHNOLOGIC ""VLĂDEASA"" HUEDIN</b><br/>Servicii/Liceal/Zi",<b>(174) Economic</b><br/>Limba română
CJ,,,,,4.67,,,,,,,"<b>LICEUL TEORETIC ""OCTAVIAN GOGA"" HUEDIN</b><br/>Real/Liceal/Zi",<b>(222) Matematică-Informatică</b><br/>Limba română
CJ,,,,,5.66,,,,,,,"<b>LICEUL TEORETIC ""OCTAVIAN GOGA"" HUEDIN</b><br/>Real/Liceal/Zi",<b>(223) Ştiinţe ale Naturii</b><br/>Limba maghiară
CJ,,,,,7.67,,,,,,,"<b>LICEUL TEORETIC ""OCTAVIAN GOGA"" HUEDIN</b><br/>Real/Liceal/Zi",<b>(224) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,7.35,,,,,,,"<b>LICEUL TEORETIC ""OCTAVIAN GOGA"" HUEDIN</b><br/>Umanist/Liceal/Zi",<b>(225) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,7.52,,,,,,,"<b>LICEUL TEORETIC ""DUMITRU TĂUȚAN"" FLOREȘTI</b><br/>Real/Liceal/Zi",<b>(201) Ştiinţe ale Naturii</b><br/>Limba română
CJ,,,,,7.22,,,,,,,"<b>LICEUL TEORETIC ""DUMITRU TĂUȚAN"" FLOREȘTI</b><br/>Umanist/Liceal/Zi",<b>(202) Ştiinţe Sociale</b><br/>Limba română
CJ,,,,,6.27,,,,,,,"<b>LICEUL TEORETIC ""GELU VOIEVOD"" GILĂU</b><br/>Real/Liceal/Zi",<b>(205) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,5.05,,,,,,,<b>LICEUL COBADIN</b><br/>Servicii/Liceal/Zi,<b>(139) Economic</b><br/>Limba română
CT,,,,,5.87,,,,,,,<b>LICEUL COBADIN</b><br/>Real/Liceal/Zi,<b>(140) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,5.70,,,,,,,<b>LICEUL COBADIN</b><br/>Umanist/Liceal/Zi,<b>(141) Ştiinţe Sociale</b><br/>Limba română
CT,,,,,4.30,,,,,,,<b>LICEUL TEHNOLOGIC COGEALAC</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(161) Agricultură</b><br/>Limba română
CT,,,,,5.82,,,,,,,<b>LICEUL TEHNOLOGIC COGEALAC</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(162) Protecţia mediului</b><br/>Limba română
CT,,,,,3.07,,,,,,,<b>LICEUL TEHNOLOGIC ’NICOLAE DUMITRESCU’ CUMPĂNA</b><br/>Tehnic/Liceal/Zi,<b>(194) Electromecanică</b><br/>Limba română
CT,,,,,5.02,,,,,,,<b>LICEUL TEHNOLOGIC ’NICOLAE DUMITRESCU’ CUMPĂNA</b><br/>Servicii/Liceal/Zi,<b>(195) Turism şi alimentaţie</b><br/>Limba română
CT,,,,,5.80,,,,,,,<b>LICEUL TEORETIC 'MIHAIL KOGĂLNICEANU' MIHAIL KOGĂLNICEANU</b><br/>Umanist/Liceal/Zi,<b>(237) Filologie</b><br/>Limba română
CT,,,,,4.70,,,,,,,<b>LICEUL TEORETIC 'MIHAIL KOGĂLNICEANU' MIHAIL KOGĂLNICEANU</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(238) Industrie alimentară</b><br/>Limba română
CT,,,,,5.65,,,,,,,<b>LICEUL TEORETIC MURFATLAR</b><br/>Servicii/Liceal/Zi,<b>(239) Economic</b><br/>Limba română
CT,,,,,4.90,,,,,,,<b>LICEUL TEORETIC MURFATLAR</b><br/>Real/Liceal/Zi,<b>(241) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,5.05,,,,,,,<b>LICEUL TEORETIC NEGRU VODĂ</b><br/>Umanist/Liceal/Zi,<b>(242) Ştiinţe Sociale</b><br/>Limba română
CT,,,,,2.17,,,,,,,<b>LICEUL ’REGELE CAROL I’ OSTROV</b><br/>Tehnic/Liceal/Zi,<b>(151) Mecanică</b><br/>Limba română
CT,,,,,2.50,,,,,,,<b>LICEUL AGRICOL POARTA ALBĂ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(136) Agricultură</b><br/>Limba română
CT,,,,,3.70,,,,,,,<b>LICEUL AGRICOL POARTA ALBĂ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(138) Protecţia mediului</b><br/>Limba română
CT,,,,,4.10,,,,,,,<b>LICEUL TEHNOLOGIC TOPRAISAR</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(206) Protecţia mediului</b><br/>Limba română
CT,,,,,7.07,,,,,,,<b>LICEUL TEHNOLOGIC ’IOAN N.ROMAN’ CONSTANŢA</b><br/>Servicii/Liceal/Zi,<b>(180) Economic</b><br/>Limba română
CT,,,,,6.62,,,,,,,<b>LICEUL TEHNOLOGIC ’IOAN N.ROMAN’ CONSTANŢA</b><br/>Servicii/Liceal/Zi,<b>(181) Estetica şi igiena corpului omenesc</b><br/>Limba română
CT,,,,,6.90,,,,,,,<b>LICEUL TEHNOLOGIC ’IOAN N.ROMAN’ CONSTANŢA</b><br/>Servicii/Liceal/Zi,<b>(182) Turism şi alimentaţie</b><br/>Limba română
CT,,,,,7.82,,,,,,,<b>LICEUL TEHNOLOGIC DE ELECTROTEHNICĂ ŞI TELECOMUNICAŢII CONSTANŢA</b><br/>Servicii/Liceal/Zi,<b>(163) Economic</b><br/>Limba română
CT,,,,,7.60,,,,,,,<b>LICEUL TEHNOLOGIC DE ELECTROTEHNICĂ ŞI TELECOMUNICAŢII CONSTANŢA</b><br/>Tehnic/Liceal/Zi,<b>(164) Electric</b><br/>Limba română
CT,,,,,7.32,,,,,,,<b>LICEUL TEHNOLOGIC DE ELECTROTEHNICĂ ŞI TELECOMUNICAŢII CONSTANŢA</b><br/>Tehnic/Liceal/Zi,<b>(165) Electronică automatizări</b><br/>Limba română
CT,,,,,5.37,,,,,,,<b>LICEUL TEHNOLOGIC ’DIMITRIE LEONIDA’ CONSTANŢA</b><br/>Tehnic/Liceal/Zi,<b>(166) Electric</b><br/>Limba română
CT,,,,,5.07,,,,,,,<b>LICEUL TEHNOLOGIC ’DIMITRIE LEONIDA’ CONSTANŢA</b><br/>Tehnic/Liceal/Zi,<b>(167) Electronică automatizări</b><br/>Limba română
CT,,,,,3.15,,,,,,,<b>LICEUL TEHNOLOGIC ’DIMITRIE LEONIDA’ CONSTANŢA</b><br/>Tehnic/Liceal/Zi,<b>(168) Mecanică</b><br/>Limba română
CT,,,,,6.25,,,,,,,<b>LICEUL ENERGETIC CONSTANȚA</b><br/>Tehnic/Liceal/Zi,<b>(148) Electric</b><br/>Limba română
CT,,,,,6.35,,,,,,,<b>LICEUL ENERGETIC CONSTANȚA</b><br/>Tehnic/Liceal/Zi,<b>(149) Electronică automatizări</b><br/>Limba română
CT,,,,,6.92,,,,,,,<b>LICEUL ENERGETIC CONSTANȚA</b><br/>Tehnic/Liceal/Zi,<b>(150) Producţie media</b><br/>Limba română
CT,,,,,9.12,,,,,,,<b>LICEUL TEORETIC ’TRAIAN’ CONSTANŢA</b><br/>Umanist/Liceal/Zi,<b>(252) Filologie</b><br/>Limba română
CT,,,,,9.27,,,,,,,<b>LICEUL TEORETIC ’TRAIAN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(253) Matematică-Informatică</b><br/>Limba română
CT,,,,,9.20,,,,,,,<b>LICEUL TEORETIC ’TRAIAN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(255) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,9.05,,,,,,,<b>LICEUL TEORETIC ’TRAIAN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(257) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,9.30,,,,,,,<b>LICEUL TEORETIC ’TRAIAN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(254) Matematică-Informatică</b><br/>Limba română
CT,,,,,9.35,,,,,,,<b>LICEUL TEORETIC ’TRAIAN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(256) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,9.70,,,,,,,<b>COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(124) Matematică-Informatică</b><br/>Limba română
CT,,,,,9.72,,,,,,,<b>COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(127) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,9.52,,,,,,,<b>COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA</b><br/>Umanist/Liceal/Zi,<b>(130) Ştiinţe Sociale</b><br/>Limba română
CT,,,,,9.50,,,,,,,<b>COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(126) Matematică-Informatică</b><br/>Limba română
CT,,,,,9.47,,,,,,,<b>COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(129) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,9.57,,,,,,,<b>COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(128) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,9.70,,,,,,,<b>COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA</b><br/>Real/Liceal/Zi,<b>(125) Matematică-Informatică</b><br/>Limba română
CT,,,,,7.20,,,,,,,<b>LICEUL TEORETIC ’CARMEN SYLVA’ EFORIE</b><br/>Umanist/Liceal/Zi,<b>(215) Filologie</b><br/>Limba română
CT,,,,,7.22,,,,,,,<b>LICEUL TEORETIC ’CARMEN SYLVA’ EFORIE</b><br/>Real/Liceal/Zi,<b>(216) Matematică-Informatică</b><br/>Limba română
CT,,,,,6.37,,,,,,,<b>LICEUL TEORETIC ’CARMEN SYLVA’ EFORIE</b><br/>Servicii/Liceal/Zi,<b>(217) Turism şi alimentaţie</b><br/>Limba română
CT,,,,,7.20,,,,,,,<b>COLEGIUL ECONOMIC MANGALIA</b><br/>Servicii/Liceal/Zi,<b>(105) Comerţ</b><br/>Limba română
CT,,,,,7.72,,,,,,,<b>COLEGIUL ECONOMIC MANGALIA</b><br/>Servicii/Liceal/Zi,<b>(106) Economic</b><br/>Limba română
CT,,,,,6.35,,,,,,,<b>COLEGIUL ECONOMIC MANGALIA</b><br/>Servicii/Liceal/Zi,<b>(108) Turism şi alimentaţie</b><br/>Limba română
CT,,,,,7.92,,,,,,,<b>LICEUL TEORETIC ’CALLATIS’ MANGALIA</b><br/>Umanist/Liceal/Zi,<b>(212) Filologie</b><br/>Limba română
CT,,,,,8.50,,,,,,,<b>LICEUL TEORETIC ’CALLATIS’ MANGALIA</b><br/>Real/Liceal/Zi,<b>(213) Matematică-Informatică</b><br/>Limba română
CT,,,,,8.27,,,,,,,<b>LICEUL TEORETIC ’CALLATIS’ MANGALIA</b><br/>Real/Liceal/Zi,<b>(214) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,5.37,,,,,,,<b>LICEUL TEHNOLOGIC ’ION BĂNESCU’ MANGALIA</b><br/>Tehnic/Liceal/Zi,<b>(183) Electromecanică</b><br/>Limba română
CT,,,,,5.45,,,,,,,<b>LICEUL TEHNOLOGIC ’ION BĂNESCU’ MANGALIA</b><br/>Tehnic/Liceal/Zi,<b>(184) Electronică automatizări</b><br/>Limba română
CT,,,,,5.17,,,,,,,<b>LICEUL TEHNOLOGIC ’ION BĂNESCU’ MANGALIA</b><br/>Tehnic/Liceal/Zi,<b>(185) Mecanică</b><br/>Limba română
CT,,,,,6.72,,,,,,,<b>LICEUL TEHNOLOGIC ’LAZĂR EDELEANU’ NĂVODARI</b><br/>Tehnic/Liceal/Zi,<b>(189) Chimie industrială</b><br/>Limba română
CT,,,,,6.57,,,,,,,<b>LICEUL TEHNOLOGIC ’LAZĂR EDELEANU’ NĂVODARI</b><br/>Tehnic/Liceal/Zi,<b>(190) Electric</b><br/>Limba română
CT,,,,,7.70,,,,,,,<b>LICEUL TEHNOLOGIC ’LAZĂR EDELEANU’ NĂVODARI</b><br/>Umanist/Liceal/Zi,<b>(191) Filologie</b><br/>Limba română
CT,,,,,7.12,,,,,,,<b>LICEUL TEHNOLOGIC ’LAZĂR EDELEANU’ NĂVODARI</b><br/>Servicii/Liceal/Zi,<b>(192) Turism şi alimentaţie</b><br/>Limba română
CT,,,,,8.02,,,,,,,<b>LICEUL TEHNOLOGIC ’LAZĂR EDELEANU’ NĂVODARI</b><br/>Real/Liceal/Zi,<b>(193) Ştiinţe ale Naturii</b><br/>Limba română
CT,,,,,5.65,,,,,,,<b>LICEUL TEORETIC ’EMIL RACOVIŢĂ’ TECHIRGHIOL</b><br/>Real/Liceal/Zi,<b>(223) Ştiinţe ale Naturii</b><br/>Limba română
