ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AB,,,,,7.42,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CAMPENI</b><br/>Real/Liceal/Zi",<b>(105) Matematică-Informatică</b><br/>Limba română
AB,,,,,6.92,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CAMPENI</b><br/>Real/Liceal/Zi",<b>(106) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,5.90,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CAMPENI</b><br/>Umanist/Liceal/Zi",<b>(107) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,7.32,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CAMPENI</b><br/>Umanist/Liceal/Zi",<b>(104) Filologie</b><br/>Limba română
AB,,,,,4.42,,,,,,,<b>LICEUL TEHNOLOGIC SILVIC CAMPENI</b><br/>Servicii/Liceal/Zi,<b>(170) Economic</b><br/>Limba română
AB,,,,,7.10,,,,,,,"<b>COLEGIUL NATIONAL ""DAVID PRODAN"" CUGIR</b><br/>Umanist/Liceal/Zi",<b>(112) Filologie</b><br/>Limba română
AB,,,,,8.10,,,,,,,"<b>COLEGIUL NATIONAL ""DAVID PRODAN"" CUGIR</b><br/>Real/Liceal/Zi",<b>(113) Matematică-Informatică</b><br/>Limba română
AB,,,,,6.57,,,,,,,"<b>COLEGIUL NATIONAL ""DAVID PRODAN"" CUGIR</b><br/>Real/Liceal/Zi",<b>(114) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.15,,,,,,,"<b>COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR</b><br/>Servicii/Liceal/Zi",<b>(135) Economic</b><br/>Limba română
AB,,,,,5.72,,,,,,,"<b>COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR</b><br/>Tehnic/Liceal/Zi",<b>(136) Electronică automatizări</b><br/>Limba română
AB,,,,,3.20,,,,,,,<b>LICEUL TEHNOLOGIC OCNA MURES</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(165) Protecţia mediului</b><br/>Limba română
AB,,,,,5.40,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES</b><br/>Umanist/Liceal/Zi",<b>(175) Filologie</b><br/>Limba română
AB,,,,,4.52,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES</b><br/>Real/Liceal/Zi",<b>(176) Matematică-Informatică</b><br/>Limba română
AB,,,,,5.32,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES</b><br/>Real/Liceal/Zi",<b>(177) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.65,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Servicii/Liceal/Zi,<b>(166) Comerţ</b><br/>Limba română
AB,,,,,8.07,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Servicii/Liceal/Zi,<b>(167) Economic</b><br/>Limba română
AB,,,,,6.47,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Tehnic/Liceal/Zi,<b>(168) Industrie textilă şi pielărie</b><br/>Limba română
AB,,,,,6.60,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Tehnic/Liceal/Zi,<b>(169) Mecanică</b><br/>Limba română
AB,,,,,4.90,,,,,,,<b>LICEUL GERMAN SEBES</b><br/>Umanist/Liceal/Zi,<b>(150) Filologie</b><br/>Limba germană
AB,,,,,5.67,,,,,,,<b>LICEUL GERMAN SEBES</b><br/>Real/Liceal/Zi,<b>(151) Ştiinţe ale Naturii</b><br/>Limba germană
AB,,,,,9.25,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Real/Liceal/Zi",<b>(126) Matematică-Informatică</b><br/>Limba română
AB,,,,,8.72,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Real/Liceal/Zi",<b>(127) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,8.40,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Umanist/Liceal/Zi",<b>(128) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,8.55,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Umanist/Liceal/Zi",<b>(125) Filologie</b><br/>Limba română
AB,,,,,5.47,,,,,,,"<b>LICEUL ""CORNELIU MEDREA"" ZLATNA</b><br/>Real/Liceal/Zi",<b>(137) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,4.62,,,,,,,"<b>LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES</b><br/>Umanist/Liceal/Zi",<b>(138) Filologie</b><br/>Limba română
AB,,,,,4.57,,,,,,,"<b>LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES</b><br/>Real/Liceal/Zi",<b>(140) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.45,,,,,,,<b>LICEUL TEORETIC TEIUS</b><br/>Umanist/Liceal/Zi,<b>(178) Filologie</b><br/>Limba română
AB,,,,,6.22,,,,,,,<b>LICEUL TEORETIC TEIUS</b><br/>Real/Liceal/Zi,<b>(179) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,4.47,,,,,,,"<b>COLEGIUL PARTICULAR ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(208) Filologie</b><br/>Limba română
